Prov 1:1 [מִשְׁלֵי] [שְׁלֹמֹה] [בֶן] [דָּוִד] king [יִשְׂרָאֵל] | [KJV:] The proverbs of Solomon the son of David, king of Israel;
Prov 25:5 [הָגוֹ] [רָשָׁע] [לְִנֵי] king [וְיִכּוֹן] [בַּצֶּדֶק] [כְִּאוֹ] | [KJV:] Take away the wicked from before the king, and his throne shall be established in righteousness.
Prov 25:6 not [imperative] [תִּתְהַדַּר] [לְִנֵי] king [וּבִמְקוֹם] [גְּדֹלִים] not [imperative] [תַּעֲמֹד] | [KJV:] Put not forth thyself in the presence of the king, and stand not in the place of great men:
Prov 25:7 [כִּי] good [אֲמָר] to you [עֲלֵה] [הֵנָּה] [מֵהַשְִּׁילְךָ] [לְִנֵי] [נָדִיב] [אֲשֶׁר] [רָאוּ] [עֵינֶיךָ] | [KJV:] For better it is that it be said unto thee, Come up hither; than that thou shouldest be put lower in the presence of the prince whom thine eyes have seen.
Prov 25:8 not [imperative] [תֵּצֵא] [לָרִב] [מַהֵר] [ֶּן] what [תַּעֲשֶׂה] [בְּאַחֲרִיתָהּ] [בְּהַכְלִים] [אֹתְךָ] [רֵעֶךָ] | [KJV:] Go not forth hastily to strive, lest thou know not what to do in the end thereof, when thy neighbour hath put thee to shame.
Prov 25:9 [רִיבְךָ] [רִיב] [with] [רֵעֶךָ] [וְוֹד] [אַחֵר] not [imperative] [תְּגָל] | [KJV:] Debate thy cause with thy neighbour himself; and discover not a secret to another:
Prov 25:10 [ֶּן] [יְחֶַּדְךָ] [שֹׁמֵעַ] [וְדִבָּתְךָ] not [תָשׁוּב] | [KJV:] Lest he that heareth it put thee to shame, and thine infamy turn not away.
Prov 25:11 [תַּּוּחֵי] gold [בְּמַשְׂכִּיּוֹת] [כֶָּף] [דָּבָר] [דָּבֻר] upon [אְָנָיו] | [KJV:] A word fitly spoken is like apples of gold in pictures of silver.
Prov 25:12 [נֶזֶם] gold [וַחֲלִי] [כָתֶם] [מוֹכִיחַ] wise upon [אֹזֶן] [שֹׁמָעַת] | [KJV:] As an earring of gold, and an ornament of fine gold, so is a wise reprover upon an obedient ear.
Prov 25:13 [כְּצִנַּת] [שֶׁלֶג] [בְּיוֹם] [קָצִיר] [צִיר] [נֶאֱמָן] [לְשֹׁלְחָיו] [וְנֶֶשׁ] [אֲדֹנָיו] [יָשִׁיב] | [KJV:] As the cold of snow in the time of harvest, so is a faithful messenger to them that send him: for he refresheth the soul of his masters.
Prov 25:14 [נְשִׂיאִים] [וְרוּחַ] [וְגֶשֶׁם] [אָיִן] man [מִתְהַלֵּל] [בְּמַתַּת] [שָׁקֶר] | [KJV:] Whoso boasteth himself of a false gift is like clouds and wind without rain.
Prov 25:15 [בְּאֹרֶךְ] [אַַּיִם] [יְֻתֶּה] [קָצִין] [וְלָשׁוֹן] [רַכָּה] [תִּשְׁבָּר] [גָּרֶם] | [KJV:] By long forbearing is a prince persuaded, and a soft tongue breaketh the bone.
Prov 25:16 [דְּבַשׁ] [מָצָאתָ] [אֱכֹל] [דַּיֶּךָּ] [ֶּן] [תִּשְׂבָּעֶנּוּ] [וַהֲקֵאתוֹ] | [KJV:] Hast thou found honey? eat so much as is sufficient for thee, lest thou be filled therewith, and vomit it.
Prov 25:17 [הֹקַר] [רַגְלְךָ] [מִבֵּית] [רֵעֶךָ] [ֶּן] [יִשְׂבָּעֲךָ] [וּשְׂנֵאֶךָ] | [KJV:] Withdraw thy foot from thy neighbour's house; lest he be weary of thee, and so hate thee.
Prov 25:18 [מִֵיץ] [וְחֶרֶב] [וְחֵץ] [שָׁנוּן] man [עֹנֶה] [בְרֵעֵהוּ] [עֵד] [שָׁקֶר] | [KJV:] A man that beareth false witness against his neighbour is a maul, and a sword, and a sharp arrow.
Prov 25:19 [שֵׁן] [רֹעָה] [וְרֶגֶל] [מוּעָדֶת] [מִבְטָח] [בּוֹגֵד] [בְּיוֹם] [צָרָה] | [KJV:] Confidence in an unfaithful man in time of trouble is like a broken tooth, and a foot out of joint.
Prov 25:20 [מַעֲדֶה] [בֶּגֶד] [בְּיוֹם] [קָרָה] [חֹמֶץ] upon [נָתֶר] [וְשָׁר] [בַּשִּׁרִים] upon [לֶב] [רָע] | [KJV:] As he that taketh away a garment in cold weather, and as vinegar upon nitre, so is he that singeth songs to an heavy heart.
Prov 25:21 if [רָעֵב] [שֹׂנַאֲךָ] [הַאֲכִלֵהוּ] [לָחֶם] and if [צָמֵא] [הַשְׁקֵהוּ] [מָיִם] | [KJV:] If thine enemy be hungry, give him bread to eat; and if he be thirsty, give him water to drink:
Prov 25:22 [כִּי] [גֶחָלִים] [אַתָּה] [חֹתֶה] upon [רֹאשׁוֹ] [וַיהוָה] [יְשַׁלֶּם] to you [f] | [KJV:] For thou shalt heap coals of fire upon his head, and the Lord shall reward thee.
Prov 25:23 spirit/wind [צָוֹן] [תְּחוֹלֵל] [גָּשֶׁם] [וָּנִים] [נִזְעָמִים] [לְשׁוֹן] [ָתֶר] | [KJV:] The north wind driveth away rain: so doth an angry countenance a backbiting tongue.
Prov 25:24 good [שֶׁבֶת] upon [ִּנַּת] [גָּג] [מֵאֵשֶׁת] [מִדוֹנִים] [וּבֵית] [חָבֶר] | [KJV:] It is better to dwell in the corner of the housetop, than with a brawling woman and in a wide house.
Prov 25:25 water(s) [קָרִים] upon [נֶֶשׁ] [עֲיֵָה] [וּשְׁמוּעָה] [טוֹבָה] from [the] land [מֶרְחָק] | [KJV:] As cold waters to a thirsty soul, so is good news from a far country.
Prov 25:26 [מַעְיָן] [נִרְָּשׂ] [וּמָקוֹר] [מָשְׁחָת] [צַדִּיק] [מָט] [לְִנֵי] [רָשָׁע] | [KJV:] A righteous man falling down before the wicked is as a troubled fountain, and a corrupt spring.
Prov 25:27 [אָכֹל] [דְּבַשׁ] [הַרְבּוֹת] not good [וְחֵקֶר] [כְּבֹדָם] [כָּבוֹד] | [KJV:] It is not good to eat much honey: so for men to search their own glory is not glory.
Prov 25:28 city [ְּרוּצָה] [there is] no [חוֹמָה] man [אֲשֶׁר] [there is] no [מַעְצָר] [לְרוּחוֹ]
Prov 26:1 [כַּשֶּׁלֶג] [בַּקַּיִץ] [וְכַמָּטָר] [בַּקָּצִיר] [כֵּן] not [נָאוֶה] [לִכְִיל] [כָּבוֹד] | [KJV:] As snow in summer, and as rain in harvest, so honour is not seemly for a fool.
Prov 26:2 [כַּצִּּוֹר] [לָנוּד] [כַּדְּרוֹר] [לָעוּף] [כֵּן] [קִלְלַת] [חִנָּם] not [תָבֹא] | [KJV:] As the bird by wandering, as the swallow by flying, so the curse causeless shall not come.
Prov 26:3 [שׁוֹט] [לַּוּ] [מֶתֶג] [לַחֲמוֹר] [וְשֵׁבֶט] [לְגֵו] [כְִּילִים] | [KJV:] A whip for the horse, a bridle for the ass, and a rod for the fool's back.
Prov 26:4 not [imperative] [תַּעַן] [כְִּיל] [כְּאִוַּלְתּוֹ] [ֶּן] [תִּשְׁוֶה] [לּוֹ] [גַם] [אָתָּה] | [KJV:] Answer not a fool according to his folly, lest thou also be like unto him.
Prov 26:5 [עֲנֵה] [כְִיל] [כְּאִוַּלְתּוֹ] [ֶּן] he will be wise [בְּעֵינָיו] | [KJV:] Answer a fool according to his folly, lest he be wise in his own conceit.
Prov 26:6 [מְקַצֶּה] [רַגְלַיִם] [חָמָ] [שֹׁתֶה] [שֹׁלֵחַ] [דְּבָרִים] [בְּיַד] [כְִּיל] | [KJV:] He that sendeth a message by the hand of a fool cutteth off the feet, and drinketh damage.
Prov 26:7 [דַּלְיוּ] [שֹׁקַיִם] [מִִֵּּחַ] [וּמָשָׁל] [בְִּי] [כְִילִים] | [KJV:] The legs of the lame are not equal: so is a parable in the mouth of fools.
Prov 26:8 [כִּצְרוֹר] [אֶבֶן] [בְּמַרְגֵּמָה] [כֵּן] [נוֹתֵן] [לִכְִיל] [כָּבוֹד] | [KJV:] As he that bindeth a stone in a sling, so is he that giveth honour to a fool.
Prov 26:9 [חוֹחַ] [he] went up [בְיַד] [שִׁכּוֹר] [וּמָשָׁל] [בְִּי] [כְִילִים] | [KJV:] As a thorn goeth up into the hand of a drunkard, so is a parable in the mouths of fools.
Prov 26:10 many/much [מְחוֹלֵל] all [וְשֹׂכֵר] [כְִּיל] [וְשֹׂכֵר] [עֹבְרִים] | [KJV:] The great God that formed all things both rewardeth the fool, and rewardeth transgressors.
Prov 26:11 [כְּכֶלֶב] [שָׁב] upon [קֵאוֹ] [כְִּיל] [שׁוֹנֶה] [בְאִוַּלְתּוֹ] | [KJV:] As a dog returneth to his vomit, so a fool returneth to his folly.
Prov 26:12 [רָאִיתָ] man wise [בְּעֵינָיו] [תִּקְוָה] [לִכְִיל] [מִמֶּנּוּ] | [KJV:] Seest thou a man wise in his own conceit? there is more hope of a fool than of him.
Prov 26:13 [he] said [עָצֵל] [שַׁחַל] [בַּדָּרֶךְ] [אֲרִי] [בֵּין] [הָרְחֹבוֹת] | [KJV:] The slothful man saith, There is a lion in the way; a lion is in the streets.
Prov 26:14 [הַדֶּלֶת] [תִּּוֹב] upon [צִירָהּ] [וְעָצֵל] upon [מִטָּתוֹ] | [KJV:] As the door turneth upon his hinges, so doth the slothful upon his bed.
Prov 26:15 [טָמַן] [עָצֵל] his hand [בַּצַּלָּחַת] [נִלְאָה] [לַהֲשִׁיבָהּ] to/toward [ִּיו] | [KJV:] The slothful hideth his hand in his bosom; it grieveth him to bring it again to his mouth.
Prov 26:16 wise [עָצֵל] [בְּעֵינָיו] [מִשִּׁבְעָה] [מְשִׁיבֵי] [טָעַם] | [KJV:] The sluggard is wiser in his own conceit than seven men that can render a reason.
Prov 26:17 [מַחֲזִיק] [בְּאָזְנֵי] [כָלֶב] [עֹבֵר] [מִתְעַבֵּר] upon [רִיב] [לֹּא] to him | [KJV:] He that passeth by, and meddleth with strife belonging not to him, is like one that taketh a dog by the ears.
Prov 26:18 [כְּמִתְלַהְלֵהַּ] [הַיֹּרֶה] [זִקִּים] [חִצִּים] [וָמָוֶת] | [KJV:] As a mad man who casteth firebrands, arrows, and death,
Prov 26:19 [כֵּן] man [רִמָּה] [with] [רֵעֵהוּ] [וְאָמַר] [הֲלֹא] [מְשַׂחֵק] [אָנִי] | [KJV:] So is the man that deceiveth his neighbour, and saith, Am not I in sport?
Prov 26:20 [בְּאֶֶ] [עֵצִים] [תִּכְבֶּה] [אֵשׁ] [וּבְאֵין] [נִרְגָּן] [יִשְׁתֹּק] [מָדוֹן] | [KJV:] Where no wood is, there the fire goeth out: so where there is no talebearer, the strife ceaseth.
Prov 26:21 [ֶּחָם] [לְגֶחָלִים] [וְעֵצִים] [לְאֵשׁ] and a man [מִדוֹנִים] [לְחַרְחַר] [רִיב] | [KJV:] As coals are to burning coals, and wood to fire; so is a contentious man to kindle strife.
Prov 26:22 [דִּבְרֵי] [נִרְגָּן] [כְּמִתְלַהֲמִים] [וְהֵם] [יָרְדוּ] [חַדְרֵי] [בָטֶן] | [KJV:] The words of a talebearer are as wounds, and they go down into the innermost parts of the belly.
Prov 26:23 [כֶֶּף] [ִיגִים] [מְצֶֻּה] upon [חָרֶשׂ] [שְָׂתַיִם] [דֹּלְקִים] [וְלֶב] [רָע] | [KJV:] Burning lips and a wicked heart are like a potsherd covered with silver dross.
Prov 26:24 [בִּשְָׂתוֹ] [יִנָּכֵר] [שׂוֹנֵא] [וּבְקִרְבּוֹ] [יָשִׁית] [מִרְמָה] | [KJV:] He that hateth dissembleth with his lips, and layeth up deceit within him;
Prov 26:25 [כִּי] [יְחַנֵּן] [קוֹלוֹ] not [imperative] [תַּאֲמֶן] in him/it [כִּי] [שֶׁבַע] [תּוֹעֵבוֹת] [בְּלִבּוֹ] | [KJV:] When he speaketh fair, believe him not: for there are seven abominations in his heart.
Prov 26:26 [תִּכֶַּּה] [שִׂנְאָה] [בְּמַשָּׁאוֹן] [תִּגָּלֶה] [רָעָתוֹ] [בְקָהָל] | [KJV:] Whose hatred is covered by deceit, his wickedness shall be shewed before the whole congregation.
Prov 26:27 [כֹּרֶה] [שַּׁחַת] [בָּהּ] [יִֹּל] [וְגֹלֵל] [אֶבֶן] to him [תָּשׁוּב] | [KJV:] Whoso diggeth a pit shall fall therein: and he that rolleth a stone, it will return upon him.
Prov 26:28 [לְשׁוֹן] [שֶׁקֶר] [יִשְׂנָא] [דַכָּיו] [וֶּה] [חָלָק] [יַעֲשֶׂה] [מִדְחֶה] | [KJV:] A lying tongue hateth those that are afflicted by it; and a flattering mouth worketh ruin.
Prov 27:1 not [imperative] [תִּתְהַלֵּל] [בְּיוֹם] [מָחָר] [כִּי] not [תֵדַע] what [יֵּלֶד] day | [KJV:] Boast not thyself of to morrow; for thou knowest not what a day may bring forth.
Prov 27:2 [יְהַלֶּלְךָ] [זָר] and not [ִיךָ] [נָכְרִי] [וְאַל] [שְָׂתֶיךָ] | [KJV:] Let another man praise thee, and not thine own mouth; a stranger, and not thine own lips.
Prov 27:3 [כֹּבֶד] [אֶבֶן] [וְנֵטֶל] [הַחוֹל] [וְכַעַ] [אֱוִיל] [כָּבֵד] [מִשְּׁנֵיהֶם] | [KJV:] A stone is heavy, and the sand weighty; but a fool's wrath is heavier than them both.
Prov 27:4 [אַכְזְרִיּוּת] [חֵמָה] [וְשֶׁטֶף] [אָף] [וּמִי] he will stand [לְִנֵי] [קִנְאָה] | [KJV:] Wrath is cruel, and anger is outrageous; but who is able to stand before envy?
Prov 27:5 [טוֹבָה] [תּוֹכַחַת] [מְגֻלָּה] [מֵאַהֲבָה] [מְֻתָּרֶת] | [KJV:] Open rebuke is better than secret love.
Prov 27:6 [נֶאֱמָנִים] [ִּצְעֵי] [אוֹהֵב] [וְנַעְתָּרוֹת] [נְשִׁיקוֹת] [שׂוֹנֵא] | [KJV:] Faithful are the wounds of a friend; but the kisses of an enemy are deceitful.
Prov 27:7 [נֶֶשׁ] [שְׂבֵעָה] [תָּבוּ] [נֶֹת] [וְנֶֶשׁ] [רְעֵבָה] [כָּל] [מַר] [מָתוֹק] | [KJV:] The full soul loatheth an honeycomb; but to the hungry soul every bitter thing is sweet.
Prov 27:8 [כְּצִּוֹר] [נוֹדֶדֶת] from [קִנָּהּ] [כֵּן] man [נוֹדֵד] [מִמְּקוֹמוֹ] | [KJV:] As a bird that wandereth from her nest, so is a man that wandereth from his place.
Prov 27:9 [שֶׁמֶן] [וּקְטֹרֶת] [יְשַׂמַּח] heart [וּמֶתֶק] [רֵעֵהוּ] [מֵעֲצַת] [נֶָשׁ] | [KJV:] Ointment and perfume rejoice the heart: so doth the sweetness of a man's friend by hearty counsel.
Prov 27:10 [רֵעֲךָ] [וְרֵעֶה] [אָבִיךָ] not [imperative] [תַּעֲזֹב] [וּבֵית] [אָחִיךָ] not [imperative] [תָּבוֹא] [בְּיוֹם] [אֵידֶךָ] good [שָׁכֵן] [קָרוֹב] [מֵאָח] [רָחוֹק] | [KJV:] Thine own friend, and thy father's friend, forsake not; neither go into thy brother's house in the day of thy calamity: for better is a neighbour that is near than a brother far off.
Prov 27:11 [חֲכַם] [בְּנִי] [וְשַׂמַּח] [לִבִּי] [וְאָשִׁיבָה] [חֹרְִי] [דָבָר] | [KJV:] My son, be wise, and make my heart glad, that I may answer him that reproacheth me.
Prov 27:12 [עָרוּם] [he] saw [רָעָה] [נְִתָּר] [ְּתָאיִם] [עָבְרוּ] [נֶעֱנָשׁוּ] | [KJV:] A prudent man foreseeth the evil, and hideth himself; but the simple pass on, and are punished.
Prov 27:13 [קַח] [בִּגְדוֹ] [כִּי] [עָרַב] [זָר] [וּבְעַד] [נָכְרִיָּה] [חַבְלֵהוּ] | [KJV:] Take his garment that is surety for a stranger, and take a pledge of him for a strange woman.
Prov 27:14 [מְבָרֵךְ] [רֵעֵהוּ] [בְּקוֹל] [גָּדוֹל] [בַּבֹּקֶר] [הַשְׁכֵּים] [קְלָלָה] [תֵּחָשֶׁב] to him | [KJV:] He that blesseth his friend with a loud voice, rising early in the morning, it shall be counted a curse to him.
Prov 27:15 [דֶּלֶף] [טוֹרֵד] [בְּיוֹם] [ַגְרִיר] [וְאֵשֶׁת] [מִדוֹנִים] [נִשְׁתָּוָה] | [KJV:] A continual dropping in a very rainy day and a contentious woman are alike.
Prov 27:16 [צְֹנֶיהָ] [צַָן] spirit/wind [וְשֶׁמֶן] [יְמִינוֹ] [יִקְרָא] | [KJV:] Whosoever hideth her hideth the wind, and the ointment of his right hand, which bewrayeth itself.
Prov 27:17 [בַּרְזֶל] [בְּבַרְזֶל] [יָחַד] and a man [יַחַד] [ְּנֵי] [רֵעֵהוּ] | [KJV:] Iron sharpeneth iron; so a man sharpeneth the countenance of his friend.
Prov 27:18 [נֹצֵר] [תְּאֵנָה] [יֹאכַל] [ִּרְיָהּ] [וְשֹׁמֵר] [אֲדֹנָיו] [יְכֻבָּד] | [KJV:] Whoso keepeth the fig tree shall eat the fruit thereof: so he that waiteth on his master shall be honoured.
Prov 27:19 [כַּמַּיִם] [הַָּנִים] [לַָּנִים] [כֵּן] heart the man [לָאָדָם] | [KJV:] As in water face answereth to face, so the heart of man to man.
Prov 27:20 [שְׁאוֹל] [וַאֲבַדֹּה] not [תִשְׂבַּעְנָה] [וְעֵינֵי] the man not [תִשְׂבַּעְנָה] | [KJV:] Hell and destruction are never full; so the eyes of man are never satisfied.
Prov 27:21 [מַצְרֵף] [לַכֶֶּף] [וְכוּר] [לַזָּהָב] and a man [לְִי] [מַהֲלָלוֹ] | [KJV:] As the fining pot for silver, and the furnace for gold; so is a man to his praise.
Prov 27:22 if [תִּכְתּוֹשׁ] [with] [הָאֱוִיל] [בַּמַּכְתֵּשׁ] [בְּתוֹךְ] [הָרִיוֹת] [בַּעֱלִי] not [תָוּר] [מֵעָלָיו] [אִוַּלְתּוֹ] | [KJV:] Though thou shouldest bray a fool in a mortar among wheat with a pestle, yet will not his foolishness depart from him.
Prov 27:23 [יָדֹעַ] [תֵּדַע] [ְּנֵי] [צֹאנֶךָ] [שִׁית] [לִבְּךָ] [לַעֲדָרִים] | [KJV:] Be thou diligent to know the state of thy flocks, and look well to thy herds.
Prov 27:24 [כִּי] not forever [חֶֹן] and if [נֵזֶר] [לְדוֹר] [דוֹר] | [KJV:] For riches are not for ever: and doth the crown endure to every generation?
Prov 27:25 [גָּלָה] [חָצִיר] [וְנִרְאָה] [דֶשֶׁא] [וְנֶאְֶוּ] [עִשְּׂבוֹת] [הָרִים] | [KJV:] The hay appeareth, and the tender grass sheweth itself, and herbs of the mountains are gathered.
Prov 27:26 [כְּבָשִׂים] [לִלְבוּשֶׁךָ] [וּמְחִיר] [שָׂדֶה] [עַתּוּדִים] | [KJV:] The lambs are for thy clothing, and the goats are the price of the field.
Prov 27:27 [וְדֵי] [חֲלֵב] [עִזִּים] [לְלַחְמְךָ] [לְלֶחֶם] [בֵּיתֶךָ] [וְחַיִּים] [לְנַעֲרוֹתֶיךָ] | [KJV:] And thou shalt have goats' milk enough for thy food, for the food of thy household, and for the maintenance for thy maidens.
Prov 28:1 [נָוּ] [וְאֵין] [רֹדֵף] [רָשָׁע] [וְצַדִּיקִים] [כִּכְִיר] [יִבְטָח] | [KJV:] The wicked flee when no man pursueth: but the righteous are bold as a lion.
Prov 28:2 [בְֶּשַׁע] land [רַבִּים] [שָׂרֶיהָ] [וּבְאָדָם] [מֵבִין] [יֹדֵעַ] [כֵּן] [יַאֲרִיךְ] | [KJV:] For the transgression of a land many are the princes thereof: but by a man of understanding and knowledge the state thereof shall be prolonged.
Prov 28:3 [גֶּבֶר] [רָשׁ] [וְעֹשֵׁק] [דַּלִּים] [מָטָר] [ֹחֵף] [וְאֵין] [לָחֶם] | [KJV:] A poor man that oppresseth the poor is like a sweeping rain which leaveth no food.
Prov 28:4 [עֹזְבֵי] [תוֹרָה] [יְהַלְלוּ] [רָשָׁע] [וְשֹׁמְרֵי] [תוֹרָה] [יִתְגָּרוּ] [בָם] | [KJV:] They that forsake the law praise the wicked: but such as keep the law contend with them.
Prov 28:5 [אַנְשֵׁי] [רָע] not [יָבִינוּ] [מִשְָּׁט] [וּמְבַקְשֵׁי] YHWH/[the] LORD [יָבִינוּ] all | [KJV:] Evil men understand not judgment: but they that seek the Lord understand all things.
Prov 28:6 good [רָשׁ] [הוֹלֵךְ] [בְּתֻמּוֹ] [מֵעִקֵּשׁ] [דְּרָכַיִם] [וְהוּא] [עָשִׁיר] | [KJV:] Better is the poor that walketh in his uprightness, than he that is perverse in his ways, though he be rich.
Prov 28:7 [נוֹצֵר] [תּוֹרָה] [בֵּן] [מֵבִין] [וְרֹעֶה] [זוֹלְלִים] [יַכְלִים] his father | [KJV:] Whoso keepeth the law is a wise son: but he that is a companion of riotous men shameth his father.
Prov 28:8 [מַרְבֶּה] [הוֹנוֹ] [בְּנֶשֶׁךְ] [וּבְתַרְבִּית] [לְחוֹנֵן] [דַּלִּים] [יִקְבְּצֶנּוּ] | [KJV:] He that by usury and unjust gain increaseth his substance, he shall gather it for him that will pity the poor.
Prov 28:9 [מִֵיר] [אָזְנוֹ] [מִשְּׁמֹעַ] [תּוֹרָה] [גַּם] [תְִּלָּתוֹ] [תּוֹעֵבָה] | [KJV:] He that turneth away his ear from hearing the law, even his prayer shall be abomination.
Prov 28:10 [מַשְׁגֶּה] [יְשָׁרִים] [בְּדֶרֶךְ] [רָע] [בִּשְׁחוּתוֹ] he [יִּוֹל] [וּתְמִימִים] [יִנְחֲלוּ] good | [KJV:] Whoso causeth the righteous to go astray in an evil way, he shall fall himself into his own pit: but the upright shall have good things in possession.
Prov 28:11 wise [בְּעֵינָיו] man [עָשִׁיר] [וְדַל] [מֵבִין] [יַחְקְרֶנּוּ] | [KJV:] The rich man is wise in his own conceit; but the poor that hath understanding searcheth him out.
Prov 28:12 [בַּעֲלֹץ] [צַדִּיקִים] [רַבָּה] [תְִאָרֶת] [וּבְקוּם] [רְשָׁעִים] [יְחַֻּשׂ] man/mankind | [KJV:] When righteous men do rejoice, there is great glory: but when the wicked rise, a man is hidden.
Prov 28:13 [מְכֶַּה] [ְשָׁעָיו] not prospers [וּמוֹדֶה] [וְעֹזֵב] [יְרֻחָם] | [KJV:] He that covereth his sins shall not prosper: but whoso confesseth and forsaketh them shall have mercy.
Prov 28:14 [אַשְׁרֵי] man/mankind [מְַחֵד] [תָּמִיד] [וּמַקְשֶׁה] [לִבּוֹ] [יִּוֹל] [בְּרָעָה] | [KJV:] Happy is the man that feareth alway: but he that hardeneth his heart shall fall into mischief.
Prov 28:15 [אֲרִי] [נֹהֵם] [וְדֹב] [שׁוֹקֵק] [מֹשֵׁל] [רָשָׁע] upon people [דָּל] | [KJV:] As a roaring lion, and a ranging bear; so is a wicked ruler over the poor people.
Prov 28:16 [נָגִיד] [חֲַר] [תְּבוּנוֹת] [וְרַב] [מַעֲשַׁקּוֹת] [שֹׂנְאֵי] [בֶצַע] [יַאֲרִיךְ] days | [KJV:] The prince that wanteth understanding is also a great oppressor: but he that hateth covetousness shall prolong his days.
Prov 28:17 man/mankind [עָשֻׁק] [בְּדַם] [נֶָשׁ] until [בּוֹר] [יָנוּ] not [imperative] [יִתְמְכוּ] in him/it | [KJV:] A man that doeth violence to the blood of any person shall flee to the pit; let no man stay him.
Prov 28:18 [הוֹלֵךְ] [תָּמִים] [יִוָּשֵׁעַ] [וְנֶעְקַשׁ] [דְּרָכַיִם] [יִּוֹל] [בְּאֶחָת] | [KJV:] Whoso walketh uprightly shall be saved: but he that is perverse in his ways shall fall at once.
Prov 28:19 [עֹבֵד] [אַדְמָתוֹ] [יִשְׂבַּע] [לָחֶם] [וּמְרַדֵּף] [רֵקִים] [יִשְׂבַּע] [רִישׁ] | [KJV:] He that tilleth his land shall have plenty of bread: but he that followeth after vain persons shall have poverty enough.
Prov 28:20 man [אֱמוּנוֹת] many/much [בְּרָכוֹת] [וְאָץ] [לְהַעֲשִׁיר] not [יִנָּקֶה] | [KJV:] A faithful man shall abound with blessings: but he that maketh haste to be rich shall not be innocent.
Prov 28:21 [הַכֵּר] [ָּנִים] not good and upon [ַּת] bread [יְִשַׁע] [גָּבֶר]
Prov 28:22 [נִבֳהָל] [לַהוֹן] man bad [עָיִן] and not [יֵדַע] [כִּי] [חֶֶר] [יְבֹאֶנּוּ] | [KJV:] He that hasteth to be rich hath an evil eye, and considereth not that poverty shall come upon him.
Prov 28:23 [מוֹכִיחַ] man/mankind [אַחֲרַי] grace [יִמְצָא] [מִמַּחֲלִיק] [לָשׁוֹן] | [KJV:] He that rebuketh a man afterwards shall find more favour than he that flattereth with the tongue.
Prov 28:24 [גּוֹזֵל] his father [וְאִמּוֹ] [וְאֹמֵר] [there is] no [ָּשַׁע] [חָבֵר] he [לְאִישׁ] [מַשְׁחִית] | [KJV:] Whoso robbeth his father or his mother, and saith, It is no transgression; the same is the companion of a destroyer.
Prov 28:25 [רְחַב] [נֶֶשׁ] [יְגָרֶה] [מָדוֹן] [וּבוֹטֵחַ] upon YHWH/[the] LORD [יְדֻשָּׁן] | [KJV:] He that is of a proud heart stirreth up strife: but he that putteth his trust in the Lord shall be made fat.
Prov 28:26 [בּוֹטֵחַ] [בְּלִבּוֹ] he [כְִיל] [וְהוֹלֵךְ] [בְּחָכְמָה] he [יִמָּלֵט] | [KJV:] He that trusteth in his own heart is a fool: but whoso walketh wisely, he shall be delivered.
Prov 28:27 [נוֹתֵן] [לָרָשׁ] [there is] no [מַחְוֹר] [וּמַעְלִים] [עֵינָיו] many/much [מְאֵרוֹת] | [KJV:] He that giveth unto the poor shall not lack: but he that hideth his eyes shall have many a curse.
Prov 28:28 [בְּקוּם] [רְשָׁעִים] [יִָּתֵר] man/mankind [וּבְאָבְדָם] [יִרְבּוּ] [צַדִּיקִים] | [KJV:] When the wicked rise, men hide themselves: but when they perish, the righteous increase.
Prov 29:1 man [תּוֹכָחוֹת] [מַקְשֶׁה] [עֹרֶף] [ֶּתַע] [יִשָּׁבֵר] [וְאֵין] [מַרְֵּא] | [KJV:] He, that being often reproved hardeneth his neck, shall suddenly be destroyed, and that without remedy.
Prov 29:2 [בִּרְבוֹת] [צַדִּיקִים] [יִשְׂמַח] the people [וּבִמְשֹׁל] [רָשָׁע] [יֵאָנַח] people | [KJV:] When the righteous are in authority, the people rejoice: but when the wicked beareth rule, the people mourn.
Prov 29:3 man [אֹהֵב] [חָכְמָה] [יְשַׂמַּח] his father [וְרֹעֶה] [זוֹנוֹת] [יְאַבֶּד] [הוֹן] | [KJV:] Whoso loveth wisdom rejoiceth his father: but he that keepeth company with harlots spendeth his substance.
Prov 29:4 king [בְּמִשְָּׁט] [יַעֲמִיד] earth and a man [תְּרוּמוֹת] [יֶהֶרְֶנָּה]
Prov 29:5 [גֶּבֶר] [מַחֲלִיק] upon [רֵעֵהוּ] [רֶשֶׁת] [ּוֹרֵשׂ] upon [ְּעָמָיו] | [KJV:] A man that flattereth his neighbour spreadeth a net for his feet.
Prov 29:6 [בְֶּשַׁע] man [רָע] [מוֹקֵשׁ] [וְצַדִּיק] [יָרוּן] [וְשָׂמֵחַ] | [KJV:] In the transgression of an evil man there is a snare: but the righteous doth sing and rejoice.
Prov 29:7 [יֹדֵעַ] [צַדִּיק] [דִּין] [דַּלִּים] [רָשָׁע] not [יָבִין] [דָּעַת] | [KJV:] The righteous considereth the cause of the poor: but the wicked regardeth not to know it.
Prov 29:8 [אַנְשֵׁי] [לָצוֹן] [יִָיחוּ] [קִרְיָה] [וַחֲכָמִים] [יָשִׁיבוּ] [אָף] | [KJV:] Scornful men bring a city into a snare: but wise men turn away wrath.
Prov 29:9 man wise [נִשְָּׁט] [with] man [אֱוִיל] [וְרָגַז] [וְשָׂחַק] [וְאֵין] [נָחַת] | [KJV:] If a wise man contendeth with a foolish man, whether he rage or laugh, there is no rest.
